Code,X,Y
1958.33332,0.88572273,0.093483419
1958.41665,0.849829061,0.091904126
1958.49998,0.811228261,0.085105333
1958.58331,0.698602031,0.075531831
1958.66664,0.572839335,0.074408833
1958.74997,0.47376108,0.073261788
1958.8333,0.437544184,0.073004891
1958.91663,0.431915865,0.073455433
1959,0.365242973,0.063816658
1959.08333,0.336939546,0.066272199
1959.16666,0.327504567,0.061949265
1959.24999,0.307399183,0.060096327
1959.33332,0.261328401,0.06119966
1959.41665,0.229167911,0.05811436
1959.49998,0.1881312,0.050092342
1959.58331,0.181234148,0.049487581
1959.66664,0.219754301,0.05506079
1959.74997,0.170389824,0.056778441
1959.8333,0.200195142,0.057175606
1959.91663,0.170211975,0.050683182
1960,0.150653137,0.052068883
1960.08333,0.188307436,0.050300548
1960.16666,0.253189185,0.053871406
1960.24999,0.300058344,0.051279011
1960.33332,0.302825491,0.042788132
1960.41665,0.254672919,0.039441132
1960.49998,0.326741732,0.041316825
1960.58331,0.377431741,0.044047613
1960.66664,0.434018916,0.051671786
1960.74997,0.460164196,0.054378409
1960.8333,0.404762855,0.047093257
1960.91663,0.370907172,0.04864853
1961,0.343550025,0.046099596
1961.08333,0.30322626,0.04523321
1961.16666,0.287746074,0.041810372
1961.24999,0.271530547,0.043022701
1961.33332,0.250155101,0.045191711
1961.41665,0.282040682,0.043995497
1961.49998,0.246130744,0.044524694
1961.58331,0.197417327,0.036958009
1961.66664,0.178308819,0.037071232
1961.74997,0.183182727,0.032628566
1961.8333,0.154420049,0.02228416
1961.91663,0.141130478,0.027810981
1962,0.149986031,0.03552209
1962.08333,0.133348552,0.036824281
1962.16666,0.143667158,0.039719981
1962.24999,0.208331296,0.04539674
1962.33332,0.310533182,0.051200563
1962.41665,0.428752671,0.063177791
1962.49998,0.400217899,0.059000347
1962.58331,0.350186042,0.060539386
1962.66664,0.372026464,0.062204933
1962.74997,0.406087302,0.06521357
1962.8333,0.354527252,0.061813258
1962.91663,0.31645473,0.060454953
1963,0.296472596,0.058140693
1963.08333,0.293430563,0.053522576
1963.16666,0.279491705,0.052474014
1963.24999,0.233326472,0.04513366
1963.33332,0.205491519,0.041672961
1963.41665,0.221976732,0.039076208
1963.49998,0.227147808,0.042649323
1963.58331,0.194927884,0.039804552
1963.66664,0.176259965,0.035859702
1963.74997,0.159802622,0.03691804
1963.8333,0.16064774,0.029402322
1963.91663,0.142891635,0.019768145
1964,0.112811539,0.019418165
1964.08333,0.09396898,0.015166171
